code,sample,dream
"
#0002",college_women,I dreamed that I was in the office of the directress or nurses in the nursing school. She is about forty-five years old. She told me the results of an I.Q. test which I had taken in a psychology class. [I really did not take this test.] The I.Q. for this test was 169. She told me that my I.Q. for the test I had taken in the nursing school was only 80. She said that if I had made a higher score in the nursing test I would have received more credit hours for the training that I received from my hospital at home. [I did take a nursing pre-entrance examination. This test determines the number of credit hours that a nurse receives for her student training when she enters the graduate school.]
"
#0007",college_women,I was in charge of a floor in our hospital in M. One of the nurses that was working on the floor was very untidy about the appearance of her hair. I remember that it was my duty to tell her that she must do something to her hair so that it would be tidier and neater. The other nurse is about my age - maybe younger. I told her about her hair and then the dream was gone.
"
#0008",college_women,"I dreamed that I went to take an examination and I was late for the class. There were ten minutes left in the period and the teacher was one that I had for an English course last term. The teacher told me that I should take the examdnation and to write as quickly as possible so that I could get some credit. I took a seat and was unable to find my pen. I looked through my purse frantically and finally found the pen, but it didn't have any ink in it. I got some ink from the desk and then I couldn't find my blue book. I just had a few minutes left when I did find the book so I quickly wrote out the answer to the first question. Then the bell rang. When I handed in my book, I felt that I had failed the examination."
"
#0010",college_women,"I dreamed that I was in one of my classes and we had just received the results of an examination we had taken about a week ago. I looked at my grade and it was marked ""90 - 30, grade 60"". I asked the teacher why I had thirty points taken off of my grade, and she said, ~You used a blue book that had notes in the back of it."" I looked over the book and showed her that the notes were pertaining to another course. She said that she would give me the original grade but I should be careful of this in the future. My teacher was a lady about 40-45 years of age."
"
#0025",college_women,"As I first remember the dream I was upstairs in a room with my sister-in-law, who is a nurse. I was mixing some blue chemicals. We were talking happily, next I was out in another room with my girlfriend from school. A teacher, whom I can't recall, was lining all the girls, (many of whom I recognized and spoke with) in a straight line to have their tonsils out. I stood in the line at first and then, finally remembering that I had had my tonsils out, I left with my girlfriend. We went downstairs and there in a little room off to one side, were a group of fellows singing and laughing. We stopped and talked with a few, and then we left."
"
#0026",college_women,"I was standing in a room, and appeared to be very thin. I then remember trying on coats and remember saying that I would not buy a ""hat."" I seemed angry at someone for even suggesting that I buy a hat, but cannot remember seeing anyone with me in the dream."
"
#0028",college_women,"I was at a factory working. I saw a college girl-friend of mine. I went out to lunch, and while outside, it started to rain very hard. I returned to the factory early from my lunch and asked my girlfriend if she would lend me her head-scarf. She said ""yes"" and, after putting it on, I went outside again."
"
#0049",college_women,"I dreamed I was in N__ Y__ with my family. We were out at a big building which someone said was M-- S-- G--. It was dark green with the sides open and extended for miles. We stood beside it for a while and then got on the subway to go back to the center of town. The subway was run on the same principle as a roller coaster. We went on a level for a while and then zoomed up an incline. Every time we stopped I was tilted to the side. Finally we got off the ""subway"" and stood looking at a large wall map of C-- painted as a mural and put on a cement wall. From there the dream is a blur. I remember my Mother sat in the seat beside me, however, on this ""subway"", and my Father was in front."
"
#0050",college_women,"I was dreaming about taking some sort of trip. I arranged 4 packs of cigarettes, Lucky Strikes, which were partially empty, each to different degrees, to divide my vacation into four parts. I gave them to someone, telling what date each stood for, I remember one that was for July 20, the other dates have faded. One pack was almost empty, having 4 or 5 cigarettes left. Transition here fades and I was then in a store trying to use a pack of tickets for a trip on some lake. The man I was talking to runs the soda fountain at the corner drug store. He told me that I must have 2 tickets next to each other on the ship with the number 34 at the bottom right hand corner of each one. The tickets were arranged with numbers much like on a calendar. I didn't find tickets arranged this way I only found one that had a 34 on the corner. Transition again fades and changes and I was on the edge of the lake. English professors began appearing, mostly ladies. They had dangling earrings, and once again numbers came into my dream. There was English 309 A, English 219, etc. and each one had a professor appearing for it. I was awakened at this point."
"
#0052",college_women,"I dreamed there were hundreds of airplanes flying over our house, which was transferred into a new setting. I stood over a broad field to watch the planes. They were a very peculiar shape which I can't describe but can draw--. I guess I can't even do that but can still see them there in my minds eye. They were yellow and, black and flew en masse in a seemingly unending supply. I remember vaguely that a man jumped out of one of them and parachuted down to earth. I approached him when he landed. He stuck his foot through the silk and tore the chute badly. I think I contemplated that the material would have been nice for a nightgown or slip."
"
#0059",college_women,"After the alarm clock rang, I apparently dozed off to sleep again and I remember hearing my father-in-law and the maid talking outside our door as to whether or not to call us. So, in a loud voice I yelled, ""We're awake"". When I actually did wake up, I asked my husband whether he heard me yell and he said he didn't. Neither were my father-in-law & the maid talking outside our door. It seemed so real, that it was hard to believe that it wasn't."
"
#0062",college_women,"I cannot remember the details of the dream except that my mother had to go to jail for something that I knew she hadn't done. It was about 6 o'clock in the morning and she wanted to drive to jail alone but I insisted that I'd take her. She felt very badly about having to go to jail, and I tried to comfort her. When I went out to get the car, I couldn't back out of the driveway because a black car was parked horizontally across the driveway. I wasn't very worried about my mother having to go to jail because I was positive she was innocent.  Somewhere, a slouchy looking man with a hat on kept beckoning with his finger to me but I only made faces at him to try to scare him away."
"
#0076",college_women,"I was riding the streetcar, either with, or going to meet, my boyfriend, E--. (I can't remember which. It might have been both, at different points in the dream, which was very confused). Somehow, there were several children in the dream, not mine, but someone else's. I cant remember how they fit in."
"
#0081",college_women,"I was riding on a bus with some other girls. I can't remember who any of them were, but I believe they were all from M--. I don't know where we were going or why, but it must have been a fairly long trip for we had to stop off for two meals, lunch and dinner. Each time, after we were in the cafeteria and had our food, I discovered that I had left my money in the bus, and had to borrow it from somebody. I can't recall anything about the bus ride. I just seemed to know we had been riding, without experiencing the ride itself."
